id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,month/year
319770,Gateway to the South Island,1639584,Jennifer,Christchurch City,Innes Ward,-43.50961,172.65552,Private room,198.0,1.0,3,2015-01-09,0.02,1,363,0,,2015-01
737452,Mumfords Akaroa,3851282,Nicky,Christchurch City,Banks Peninsula Ward,-43.82343,172.94643,Entire home/apt,394.0,2.0,100,2025-12-21,0.67,1,299,2,,2025-12
1004252,Governors Bay Waterfront Retreat,5523780,Rosie,Christchurch City,Banks Peninsula Ward,-43.61889,172.65314,Entire home/apt,183.0,2.0,224,2026-02-28,1.43,1,169,9,,2026-02
1007247,Clarence Cottage,4765250,John,Christchurch City,Riccarton Ward,-43.53955,172.60697,Entire home/apt,334.0,2.0,119,2026-02-21,0.8,1,298,5,,2026-02
1097487,Heritage Magic in Merivale,4993285,Paulette,Christchurch City,Fendalton Ward,-43.51149,172.6254,Private room,189.0,1.0,230,2025-03-03,2.07,1,321,0,,2025-03
1429281,Self contained & fully equipped,7619275,Liz & Gordon,Christchurch City,Halswell Ward,-43.56982,172.55229,Private room,69.0,5.0,201,2026-03-03,1.31,1,328,22,,2026-03
1461771,Mt Pleasant - Retro Living apartment,6353005,Suzanne,Christchurch City,Heathcote Ward,-43.55813,172.72025,Entire home/apt,360.0,1.0,16,2024-06-03,0.12,1,45,0,,2024-06
1798383,"3 private rooms up to 6 guests, spacious modern.",9431529,Shirley,Christchurch City,Burwood Ward,-43.46900177001953,172.66433715820312,Private room,166.0,2.0,181,2026-02-21,1.2,2,327,11,,2026-02
1837611,"Close to University, 10 mins from Airport and City",9542449,Shona,Christchurch City,Fendalton Ward,-43.51332,172.5784,Private room,86.0,2.0,98,2026-02-17,0.66,1,207,17,,2026-02
1893596,"Luxury at its best, Quail's Nest",5225682,Shelley,Christchurch City,Banks Peninsula Ward,-43.62728,172.71872,Entire home/apt,217.0,2.0,196,2026-02-27,1.3,1,193,6,,2026-02
2009003,Luxury Cass Bay Retreat (B),10339399,Vivienne,Christchurch City,Banks Peninsula Ward,-43.60411,172.69502,Entire home/apt,206.0,1.0,448,2026-03-16,3.03,3,304,53,,2026-03
2238148,"Private, Cosy Self Contained. Long Stay's Welcome",6155840,Robyn,Christchurch City,Papanui Ward,-43.47967543598596,172.61712715029716,Entire home/apt,102.0,2.0,436,2026-03-19,2.97,1,135,83,,2026-03
2249963,Charming family cottage in Somerfield,962315,Gemma,Christchurch City,Cashmere Ward,-43.5554722,172.6283052,Entire home/apt,366.0,2.0,25,2026-03-01,0.92,1,54,10,,2026-03
